n_sources,ks,coherence_length_over_spacing,raw_coherence_availability,radiating_phase_steerability,radiating_covariance_gain,phase_ablation_rmse_db,dominant_mechanism
7,0.06812920690579612,0.21544346900318834,0.01262430272491787,0.016421311202279944,1.0166437113909292,0.0001040749623405493,compact
7,0.06812920690579612,0.31622776601683794,0.0553782666433955,0.0700770814667366,1.075116009539252,0.00048208001100503057,compact
7,0.06812920690579612,0.46415888336127775,0.15094677357609015,0.18059042426680683,1.2196227941760505,0.001496008451672747,compact
7,0.06812920690579612,0.6812920690579611,0.2948763522894174,0.328242101944601,1.4866780651051332,0.0036389941488802822,compact
7,0.06812920690579612,1.0,0.455167734961103,0.4744569084017527,1.8984781445681058,0.007457768437679455,compact
7,0.06812920690579612,1.467799267622069,0.5977816110856276,0.5940594433656423,2.4549613944133664,0.013105478577997959,compact
7,0.06812920690579612,2.154434690031882,0.7068798480259889,0.6812043474416258,3.1221833455424535,0.01990881998456433,compact
7,0.06812920690579612,3.1622776601683795,0.7829739575338415,0.7406964223742215,3.8341242039362653,0.026731906643774173,compact
7,0.06812920690579612,4.6415888336127775,0.8332992662778405,0.7800867468922034,4.516588045275825,0.03270041515920305,compact
7,0.06812920690579612,6.812920690579608,0.8657267852616342,0.8059317560183177,5.114321680143996,0.0374654256378801,compact
7,0.06812920690579612,10.0,0.8864854089197354,0.8229226124544664,5.602006329002951,0.04105547004725753,compact
7,0.06812920690579612,14.67799267622069,0.8998433876228871,0.834161833517079,5.979337828723486,0.04366424894319632,compact
7,0.06812920690579612,21.54434690031882,0.9085269029829269,0.8416473033927694,6.260269217979873,0.04551752858088904,compact
7,0.06812920690579612,31.622776601683793,0.914233111584836,0.8466626108040102,6.463793675335184,0.04681532046627631,compact
7,0.06812920690579612,46.41588833612777,0.9180184637076214,0.8500388142488698,6.608446423952797,0.04771575116188717,compact
7,0.06812920690579612,68.12920690579608,0.9205484749760577,0.8523196547948105,6.709901122760891,0.04833672162437843,compact
7,0.06812920690579612,100.0,0.922249002226468,0.8538644548559035,6.780409539620968,0.04876325978107554,compact
7,0.1,0.01,4.870722786029202e-44,6.402915613311108e-44,1.0,0.0,incoherent_mixer
7,0.1,0.014677992676220698,3.379893277835657e-30,4.443112940455782e-30,1.0,0.0,incoherent_mixer
7,0.1,0.021544346900318832,9.096564976156616e-21,1.1958089275866046e-20,1.0,0.0,incoherent_mixer
7,0.1,0.03162277660168379,2.417932776681587e-14,3.178546636272915e-14,1.0000000000000315,1.5844267684467887e-15,incoherent_mixer
7,0.1,0.046415888336127774,5.760373290509177e-10,7.572425220276777e-10,1.0000000007523153,1.0067088351453584e-11,incoherent_mixer
7,0.1,0.06812920690579612,5.526757106138364e-07,7.265317216221001e-07,1.0000007218047071,9.659843260426971e-09,incoherent_mixer
7,0.1,0.1,5.944246128382294e-05,7.81382456182243e-05,1.000077635842684,1.0390299618384172e-06,incoherent_mixer
7,0.1,0.1467799267622069,0.0014395525070505517,0.0018905520725841704,1.0018817936560527,2.5205708023525473e-05,incoherent_mixer
7,0.1,0.21544346900318834,0.01262430272491787,0.016455410238427587,1.0166207406733694,0.00022413507835063846,incoherent_mixer
7,0.1,0.31622776601683794,0.0553782666433955,0.07021517692356076,1.0750035106723943,0.0010381383570568876,mixed
7,0.1,0.46415888336127775,0.15094677357609015,0.1809052578950066,1.2192269636306714,0.003221071806983958,mixed
7,0.1,0.6812920690579611,0.2948763522894174,0.32870641359939895,1.485505565522678,0.00783292632364425,mixed
7,0.1,1.0,0.455167734961103,0.4749555260267836,1.8954141244631835,0.01604788261175952,mixed
7,0.1,1.467799267622069,0.5977816110856276,0.5944879815411133,2.4480097997432524,0.028198225886428313,mixed
7,0.1,2.154434690031882,0.7068798480259889,0.6815229301365247,3.1087709626896016,0.04284708608378593,mixed
7,0.1,3.1622776601683795,0.7829739575338415,0.7409145478068665,3.812030373963691,0.05755907689575888,mixed
7,0.1,4.6415888336127775,0.8332992662778405,0.780230318522834,4.484771878528408,0.0704485735868136,mixed
7,0.1,6.812920690579608,0.8657267852616342,0.806024731582654,5.073063531568423,0.08075372890263667,mixed
7,0.1,10.0,0.8864854089197354,0.8229823617559742,5.552498034879272,0.0885268636640013,mixed
7,0.1,14.67799267622069,0.8998433876228871,0.8341999034374464,5.923148004947857,0.09418038439151805,mixed
7,0.1,21.54434690031882,0.9085269029829269,0.8416711655189956,6.198950411719612,0.09819926047267893,mixed
7,0.1,31.622776601683793,0.914233111584836,0.8466770900428424,6.398681901495237,0.10101485357063868,mixed
7,0.1,46.41588833612777,0.9180184637076214,0.8500470496246513,6.540601151247473,0.10296899690285054,mixed
7,0.1,68.12920690579608,0.9205484749760577,0.8523237085815316,6.640120560157358,0.10431695155795423,mixed
7,0.1,100.0,0.922249002226468,0.8538656943416102,6.709275399241491,0.10524299220625187,mixed
7,0.1467799267622069,0.01,4.870722786029202e-44,6.429800759932172e-44,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.014677992676220698,3.379893277835657e-30,4.461769088697025e-30,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.021544346900318832,9.096564976156616e-21,1.2008299992812099e-20,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.03162277660168379,2.417932776681587e-14,3.1918930080696054e-14,1.0000000000000315,1.3910809857588956e-15,incoherent_mixer
7,0.1467799267622069,0.046415888336127774,5.760373290509177e-10,7.604221010581463e-10,1.0000000007501306,2.1672329371830263e-11,incoherent_mixer
7,0.1467799267622069,0.06812920690579612,5.526757106138364e-07,7.295823472615445e-07,1.0000007197088814,2.0794773582762707e-08,incoherent_mixer
7,0.1467799267622069,0.1,5.944246128382294e-05,7.846631554800728e-05,1.0000774103947314,2.2367224619868728e-06,incoherent_mixer
7,0.1467799267622069,0.1467799267622069,0.0014395525070505517,0.0018984761997188446,1.001876314743631,5.426016910271656e-05,incoherent_mixer
7,0.1467799267622069,0.21544346900318834,0.01262430272491787,0.016523433539750873,1.0165713093451174,0.0004824778925655717,incoherent_mixer
7,0.1467799267622069,0.31622776601683794,0.0553782666433955,0.07049026469947899,1.0747615114698132,0.002234414635131318,mixed
7,0.1467799267622069,0.46415888336127775,0.15094677357609015,0.1815301438154466,1.2183763112809751,0.006930410339430459,mixed
7,0.1467799267622069,0.6812920690579611,0.2948763522894174,0.3296216331071416,1.4829906130632344,0.016842889378037525,mixed
7,0.1467799267622069,1.0,0.455167734961103,0.475927606087344,1.8888604763664885,0.034484284537769215,mixed
7,0.1467799267622069,1.467799267622069,0.5977816110856276,0.5953109040815685,2.4331877027522384,0.06058085500121068,mixed
