theta_deg,model_normalized,analytic_normalized,abs_error
-69.0,0.013922453303297791,0.0139224533032978,8.673617379884035e-18
-68.75,0.013668777439708478,0.013668777439708478,0.0
-68.5,0.013409997953661299,0.013409997953661292,6.938893903907228e-18
-68.25,0.013146203871853581,0.013146203871853586,5.204170427930421e-18
-68.0,0.012877496504522164,0.012877496504522168,3.469446951953614e-18
-67.75,0.012603989879756253,0.012603989879756257,3.469446951953614e-18
-67.5,0.012325811174291037,0.012325811174291048,1.0408340855860843e-17
-67.25,0.01204310113954117,0.012043101139541169,1.734723475976807e-18
-67.0,0.01175601452156953,0.011756014521569531,1.734723475976807e-18
-66.75,0.011464720473621615,0.011464720473621624,8.673617379884035e-18
-66.5,0.011169402959789167,0.01116940295978917,3.469446951953614e-18
-66.25,0.010870261148302507,0.010870261148302503,3.469446951953614e-18
-65.99999999999999,0.010567509792885626,0.010567509792885621,5.204170427930421e-18
-65.75,0.010261379600544024,0.010261379600544025,1.734723475976807e-18
-65.5,0.0099521175840917,0.009952117584091695,5.204170427930421e-18
-65.25,0.009639987397660815,0.009639987397660817,1.734723475976807e-18
-65.0,0.009325269653378494,0.009325269653378493,1.734723475976807e-18
-64.74999999999999,0.00900826221733349,0.009008262217333496,6.938893903907228e-18
-64.5,0.008689280482900495,0.00868928048290049,5.204170427930421e-18
-64.25,0.008368657619433572,0.00836865761943357,1.734723475976807e-18
-64.0,0.008046744794289589,0.008046744794289589,0.0
-63.75000000000001,0.007723911366092175,0.0077239113660921635,1.1275702593849246e-17
-63.49999999999999,0.007400545047101584,0.007400545047101582,1.734723475976807e-18
-63.25,0.007077052032515551,0.007077052032515561,9.540979117872439e-18
-63.0,0.006753857094485436,0.006753857094485436,0.0
-62.75,0.006431403638603481,0.0064314036386034865,5.204170427930421e-18
-62.50000000000001,0.006110153720585023,0.006110153720585022,8.673617379884035e-19
-62.24999999999999,0.005790588020850068,0.00579058802085007,1.734723475976807e-18
-62.0,0.005473205774691212,0.00547320577469121,2.6020852139652106e-18
-61.75,0.005158524655703883,0.005158524655703877,6.071532165918825e-18
-61.49999999999999,0.004847080610154189,0.004847080610154193,4.336808689942018e-18
-61.25000000000001,0.004539427639960709,0.004539427639960707,1.734723475976807e-18
-61.0,0.004236137531980458,0.0042361375319804615,3.469446951953614e-18
-60.75,0.003937799531309154,0.003937799531309159,4.336808689942018e-18
-60.5,0.003645019956332692,0.0036450199563326903,1.734723475976807e-18
-60.24999999999999,0.0033584217533068937,0.003358421753306889,4.7704895589362195e-18
-60.00000000000001,0.0030786439882891817,0.003078643988289173,8.673617379884035e-18
-59.75,0.0028063412743014136,0.002806341274301412,1.734723475976807e-18
-59.5,0.002542183131674722,0.0025421831316747236,1.734723475976807e-18
-59.25000000000001,0.002286853279602301,0.002286853279602303,1.734723475976807e-18
-58.99999999999999,0.0020410488570182556,0.002041048857018251,4.7704895589362195e-18
-58.75,0.0018054795710227304,0.0018054795710227278,2.6020852139652106e-18
-58.5,0.0015808667711860202,0.0015808667711860157,4.553649124439119e-18
-58.24999999999999,0.0013679424481926232,0.0013679424481926254,2.168404344971009e-18
-58.00000000000001,0.001167448155424569,0.00116744815542457,1.0842021724855044e-18
-57.74999999999999,0.0009801338522360558,0.0009801338522360547,1.0842021724855044e-18
-57.5,0.0008067566678382566,0.0008067566678382614,4.7704895589362195e-18
-57.25,0.0006480795848917772,0.0006480795848917773,1.0842021724855044e-19
-57.0,0.0005048700420987442,0.0005048700420987455,1.3010426069826053e-18
-56.75,0.0003778984552944279,0.00037789845529442797,5.421010862427522e-20
-56.5,0.0002679366567595883,0.00026793665675958674,1.5720931501039814e-18
-56.25,0.000175756252712386,0.00017575625271238707,1.0570971181733668e-18
-55.99999999999999,0.00010212689918834663,0.00010212689918834613,5.014435047745458e-19
-55.75,4.781449678329774e-05,4.781449678329743e-05,3.1170812458958252e-19
-55.5,1.3579305012791566e-05,1.3579305012791825e-05,2.591920818598159e-19
-55.25,1.7397733609292843e-07,1.7397733609294251e-07,1.4081922748102743e-20
-55.0,8.341518200208347e-06,8.341518200208487e-06,1.4060746924421386e-19
-54.75,3.881316378120004e-05,3.881316378120041e-05,3.7269449679189215e-19
-54.5,9.23061884350824e-05,9.230618843508285e-05,4.472333961502706e-19
-54.25,0.0001695216392186752,0.0001695216392186753,1.0842021724855044e-19
-54.0,0.00027114200120139216,0.00027114200120139016,2.0057740190981832e-18
-53.74999999999999,0.00039782879666201904,0.0003978287966620204,1.3552527156068805e-18
-53.5,0.0005502201216480939,0.0005502201216480917,2.168404344971009e-18
-53.25,0.0007289281237709394,0.0007289281237709402,8.673617379884035e-19
-53.0,0.0009345364255138796,0.0009345364255138791,4.336808689942018e-19
-52.75,0.0011675974977446533,0.001167597497744651,2.168404344971009e-18
-52.5,0.0014286299885456347,0.0014286299885456328,1.951563910473908e-18
-52.25,0.00171811601290328,0.0017181160129032794,6.505213034913027e-19
-52.0,0.0020364984092336273,0.002036498409233629,1.734723475976807e-18
-51.75,0.0023841779691595247,0.0023841779691595242,4.336808689942018e-19
-51.49999999999999,0.002761510647397613,0.002761510647397613,0.0
-51.25,0.0031688047590574006,0.0031688047590574036,3.0357660829594124e-18
-51.0,0.00360631817209976,0.003606318172099755,5.204170427930421e-18
-50.75,0.0040742555031439785,0.004074255503143978,8.673617379884035e-19
-50.5,0.004572765325254101,0.004572765325254102,8.673617379884035e-19
-50.25,0.005101937396769706,0.005101937396769708,2.6020852139652106e-18
-50.0,0.005661799920674524,0.005661799920674522,1.734723475976807e-18
-49.75,0.006252316844416662,0.006252316844416659,3.469446951953614e-18
-49.5,0.006873385210502491,0.0068733852105024905,8.673617379884035e-19
-49.24999999999999,0.0075248325685827525,0.007524832568582756,3.469446951953614e-18
-49.0,0.008206414460130105,0.0082064144601301,5.204170427930421e-18
-48.75,0.008917811987170692,0.008917811987170692,0.0
-48.5,0.009658629476876469,0.009658629476876473,3.469446951953614e-18
-48.25,0.010428392254146457,0.01042839225414646,3.469446951953614e-18
-48.0,0.011226544534602336,0.011226544534602331,5.204170427930421e-18
-47.75,0.012052447450692953,0.012052447450692949,3.469446951953614e-18
-47.5,0.012905377223845675,0.012905377223845669,6.938893903907228e-18
-47.25,0.013784523495806137,0.013784523495806144,6.938893903907228e-18
-46.99999999999999,0.014688987832487647,0.014688987832487645,1.734723475976807e-18
-46.75,0.015617782413782443,0.015617782413782444,1.734723475976807e-18
-46.5,0.016569828922889166,0.01656982892288917,3.469446951953614e-18
-46.25,0.017543957648760388,0.017543957648760385,3.469446951953614e-18
-46.0,0.018538906815289056,0.018538906815289052,3.469446951953614e-18
-45.75,0.019553322150811413,0.01955332215081141,3.469446951953614e-18
-45.5,0.0205857567114189,0.02058575671141889,1.0408340855860843e-17
-45.25,0.021634670971432478,0.021634670971432485,6.938893903907228e-18
-45.0,0.022698433194199074,0.02269843319419907,3.469446951953614e-18
-44.74999999999999,0.023775320096121107,0.023775320096121117,1.0408340855860843e-17
-44.5,0.024863517816521307,0.0248635178165213,6.938893903907228e-18
-44.25,0.025961123205577977,0.025961123205577984,6.938893903907228e-18
-44.0,0.02706614544213323,0.02706614544213324,1.0408340855860843e-17
-43.75,0.0281765079926855,0.0281765079926855,0.0
-43.5,0.02929005092231608,0.02929005092231607,1.0408340855860843e-17
-43.25,0.0304045335676737,0.0304045335676737,0.0
-43.0,0.03151763758145006,0.031517637581450056,6.938893903907228e-18
-42.75,0.032626970357013556,0.03262697035701357,1.3877787807814457e-17
