target,seed,n_lobes,validated_surrogate_target_rmse_db,optimized_theory_target_rmse_db,raw_coherence_availability,radiating_phase_steerability,radiating_covariance_gain,phase_ablation_rmse_db,offdiag_bound_ratio_max,control_dimension_1e2,control_dimension_1e3,target_projection_q_1e2
target_030,30,3,7.791055594580091,7.86005588622201,0.9515551812361452,0.8721635544137444,1.418341189589606,9.149058526350762,0.11689433706919006,7,11,0.9135228109758226
target_031,31,1,7.286603213122478,6.950896626678696,0.9556042108796512,0.8936984710767657,2.0395741620412315,10.771373316759245,0.29717024849697166,7,10,0.5270859204466798
target_032,32,1,18.087354292799965,17.842903385417205,0.9583556364057298,0.765480044758082,0.89807037717481,5.967551101890674,0.041086104840730206,9,11,0.9710131973074417
target_033,33,3,7.343190668952244,7.725648359354595,0.9424445965756687,0.7997987364637779,0.9802152576765999,6.410900576134364,0.12090416085474295,10,11,0.9272428371269528
target_034,34,3,7.053829923998052,7.121775249987316,0.9435751578663567,0.7253457873683151,1.0726723315698241,5.055518283326677,0.06201952098760829,10,10,0.9456069723207031
target_035,35,3,7.729014420629985,7.701057514080749,0.9592681777207042,0.7976788008153766,1.0738621715765637,8.191239508765419,0.09902254468004229,8,11,0.9275161059294057
target_036,36,2,11.484708509373442,11.37863746488412,0.9620723165975238,0.8448126272242533,1.300838126857764,8.491541044511385,0.12347747124947961,8,11,0.9341284542089979
target_037,37,3,9.841826267488432,9.988231431905303,0.9575414707447293,0.8049961837145924,0.726887087632902,3.8956011461758333,0.02765162843252418,7,10,0.9432146439290042
target_038,38,3,6.789403470476659,7.197065795170107,0.9631314719834382,0.8604337185073455,1.0775041336262976,7.42028957231382,0.08101240198334796,7,10,0.491487076069871
target_039,39,1,8.319522940616572,8.41890396493822,0.9476550221143692,0.7716325091165566,1.111359298992254,6.414204587070972,0.0884331269402124,10,11,0.9857578376850535
target_040,40,2,7.95278570425752,7.976674090391924,0.9482705786515551,0.8466973141665087,1.0961203749639146,8.982011813973383,0.0935549453117973,8,11,0.8887532474138798
target_041,41,2,6.943514379914523,7.125053508209269,0.9545591764084347,0.8333103445785903,1.2659685434633936,8.089293741132924,0.0839782861590992,8,10,0.8585098191409933
target_042,42,3,10.311986043493429,10.196551219714177,0.9468053086663375,0.8090649987878632,1.1848448815548807,6.833773544809297,0.17113492640470263,9,11,0.8577074522175384
target_043,43,1,13.368120320928355,13.281929856699994,0.9433139392977233,0.7551356339166494,1.3248089616994194,8.564317744391433,0.10092972833486426,10,11,0.8597531023606857
target_044,44,2,7.404921317870489,7.759808182727696,0.9427447794871554,0.7924015489556255,1.1954788098758375,8.088266835483845,0.0906011753345431,8,11,0.7075388868951364
target_045,45,2,8.2286121643112,8.314485257788183,0.961845390811934,0.8728975921458761,1.2814683159350853,10.475377257151527,0.17291759458784398,7,9,0.6221429551770781
target_046,46,1,12.43379712424438,12.485396147942373,0.9526279257217679,0.843005435658542,1.0372572332748802,9.114791946723619,0.11290903724054568,9,11,0.9156762295874034
target_047,47,2,10.55195993437315,10.503500330884195,0.9611504674154359,0.830092745872487,1.0516367648895832,7.706829154775632,0.09537851259811246,8,11,0.6467281284343845
target_048,48,3,7.480182705373281,7.812834120313652,0.9578740106380356,0.7898118805632645,1.0037428913015558,5.994091295266034,0.08699705798147873,10,11,0.9471592014415174
target_049,49,1,8.132518756671328,8.122033501331332,0.9419578848728793,0.8493351249557797,1.5494586759198177,9.646490272642732,0.2193442132788946,9,11,0.9578235261177411
target_050,50,2,12.801325155018096,12.415371714207788,0.9445657961957458,0.8330376199449488,1.6501976988152023,10.099573696084603,0.17751452640630094,7,10,0.895632634022506
